Image number,Square,Radius,Circumference,Alcohol concentration
2535,2161541.74,829.48,5714.82,0.0
2536,2161519.28,829.48,5714.82,0.0
2537,2161317.13,829.44,5714.82,0.0
2640,2103153.57,818.2,5982.05,0.0
2641,2102816.65,818.14,5985.98,0.0
2643,2101424.05,817.87,5643.4,0.0
2654,2158127.63,828.83,5763.17,0.0
2655,2142505.78,825.82,5626.06,0.0
2657,2141933.02,825.71,5632.77,0.0
2668,2222715.12,841.14,5714.35,0.0
2669,2223198.04,841.23,5711.57,0.0
2680,2425686.75,878.7,6086.23,0.0
2682,2425686.75,878.7,6086.23,0.0
2683,2266885.29,849.45,6128.35,0.0
2694,2025392.51,802.93,5437.44,0.0
2696,2063486.89,810.45,5579.34,0.0
2697,2063722.74,810.5,5578.19,0.0
2708,2069281.91,811.59,5496.62,0.0
2709,2068989.91,811.53,5500.54,0.0
2720,2070023.14,811.73,5505.42,0.0
2721,2069933.29,811.71,5505.42,0.0
2722,2070056.83,811.74,5502.64,0.0
2723,2067990.39,811.33,5938.11,0.0
2734,2097235.01,817.05,5603.38,0.0
2735,2003021.05,798.49,5782.32,0.0
2736,2002594.28,798.4,5786.25,0.0
2737,2002392.13,798.36,5786.25,0.0
2858,2052975.0,808.38,5505.42,0.0
2864,1960221.02,789.91,5471.63,0.0
2866,2167662.45,830.66,5836.62,0.0
2867,2167280.61,830.58,5842.17,0.0
2870,2073201.41,812.35,5692.22,0.0
2872,2073111.57,812.34,5692.22,0.0
2873,1975618.25,793.01,5500.15,0.0
2898,2033939.04,804.63,5523.9,0.0
2899,2034006.42,804.64,5523.9,0.0
2904,2047281.06,807.26,5600.8,0.0
2906,2193133.58,835.52,5857.2,0.0
2907,2193537.88,835.6,5857.2,0.0
2910,2165809.39,830.3,5771.81,0.0
2912,2165775.7,830.29,5774.59,0.0
2913,2165045.71,830.15,5664.18,0.0
2938,2161822.51,829.54,5780.02,0.0
3005,2083747.0,814.42,5666.95,0.0
3006,2083365.15,814.34,5670.88,0.0
3007,2083758.23,814.42,5669.73,0.0
3011,2163046.65,829.77,5715.5,0.0
3012,2163035.42,829.77,5712.72,0.0
3013,1982311.72,794.35,5502.56,0.0
3039,1902641.45,778.22,5243.94,0.0
3158,2168560.9,830.83,5910.15,0.0
3159,2168684.44,830.85,5912.92,0.0
3164,1901495.92,777.99,5330.2,0.0
3165,2132802.5,823.95,5695.39,0.0
3166,2133644.8,824.11,5699.79,0.0
3167,2133027.11,823.99,5702.57,0.0
3170,2027256.8,803.3,5479.28,0.0
